Image,Block Size,Payload Capacity,Embedding Efficiency,PSNR,EPER
1_lena_color.tiff,2x2,512.0,1.0,59.16002488251406,0.44
1_lena_color.tiff,2x3,512.0,0.5432674040191035,77.61977705943497,0.5641532897949219
1_lena_color.tiff,3x3,512.0,0.5649341456262928,74.32657793645586,0.5995803833007812
1_lena_color.tiff,4x4,512.0,0.50340274971835,80.9888819996934,0.53
1_lena_color.tiff,5x5,512.0,0.5648793507776179,74.32482152266124,0.5996337890625
1_lena_color.tiff,4x3,512.0,0.5426406381789529,77.61972579695319,0.565301513671875
1_lena_color.tiff,2x5,512.0,0.5431406108853722,77.61828658352597,0.5668159484863281
1_lena_color.tiff,3x4,512.0,0.549919907100059,76.42695643413975,0.5725341796875
2_baboon.tiff,2x2,512.0,1.0,53.1339938574153,0.44
2_baboon.tiff,2x3,512.0,0.6115783912825243,70.10653707663919,0.5951095581054687
2_baboon.tiff,3x3,512.0,0.6408351556528327,68.81746403936614,0.5999618530273437
2_baboon.tiff,4x4,512.0,0.503496512024382,80.63386978864392,0.53
2_baboon.tiff,5x5,512.0,0.6408289667582583,68.81738690334963,0.5999809265136719
2_baboon.tiff,4x3,512.0,0.6116483288399317,70.11023473466327,0.5924659729003906
2_baboon.tiff,2x5,512.0,0.6115573551384044,70.1126032105717,0.5929046630859375
2_baboon.tiff,3x4,512.0,0.603863065311313,70.77245074476079,0.5910736083984375
3_boat.tiff,2x2,512.0,1.000000029409892,60.39004953687579,0.44
3_boat.tiff,2x3,512.0,0.5538791574007126,76.78489273202845,0.5861183166503906
3_boat.tiff,3x3,512.0,0.584177610455099,72.68856514632125,0.5998664855957031
3_boat.tiff,4x4,512.0,0.5033729616922923,81.72102303509578,0.53
3_boat.tiff,5x5,512.0,0.5842052263436754,72.6899990611157,0.599908447265625
3_boat.tiff,4x3,512.0,0.5536751115701015,76.79199006772733,0.5798774719238281
3_boat.tiff,2x5,512.0,0.5536937868515137,76.79073459995973,0.5805641174316406
3_boat.tiff,3x4,512.0,0.5602687505339734,74.23928278535412,0.5838981628417969
4_lake.tiff,2x2,512.0,1.0,52.36235500759422,0.44
4_lake.tiff,2x3,512.0,0.5643592501157797,74.32132878009324,0.5863510131835937
4_lake.tiff,3x3,512.0,0.5862473381279429,71.90594219836396,0.5995193481445312
4_lake.tiff,4x4,512.0,0.5035786394218111,81.08518634661877,0.53
4_lake.tiff,5x5,512.0,0.5863206345844322,71.90494783289773,0.5994544982910156
4_lake.tiff,4x3,512.0,0.5640416009344004,74.32544788714043,0.5797935485839844
4_lake.tiff,2x5,512.0,0.5638112896762706,74.32706933798082,0.5801864624023437
4_lake.tiff,3x4,512.0,0.5650757081564135,73.90842370392893,0.582086181640625
5_peppers.tiff,2x2,512.0,1.000000036396136,63.48050773638144,0.44
5_peppers.tiff,2x3,512.0,0.5458314340616297,77.24069611876622,0.5756278991699219
5_peppers.tiff,3x3,512.0,0.5652621300678526,74.65583139021089,0.5996833801269531
5_peppers.tiff,4x4,512.0,0.5041742000602429,80.82477614676853,0.53
5_peppers.tiff,5x5,512.0,0.5652826210924926,74.65518901782647,0.5996337890625
5_peppers.tiff,4x3,512.0,0.545887010961497,77.23919825708953,0.5760017395019531
5_peppers.tiff,2x5,512.0,0.5457871763600981,77.2429714259511,0.5713211059570312
5_peppers.tiff,3x4,512.0,0.5511616118014326,76.64924106027888,0.5770164489746094
Average,Average,512.0,0.6171521474347271,72.97038104457894,0.5611606025695801
